firstname,alt_firstname,lastname,teams,statut,status,webpage,HAL,start_date,end_date,member,photo,perm,fid,researcheridId_s,idrefId_s,orcidId_s,viafId_s,isniId_s,google scholarId_s,arxivId_s
Bertrand,,Duménieu,STRUDEL,Chercheur associé,Associated researcher,http://crh.ehess.fr/index.php?5206,bertrand-dumenieu,,,true,,false,45,,https://www.idref.fr/19133152X,https://orcid.org/0000-0002-2517-2058,https://viaf.org/viaf/2210145857173422922602,,,
Oussama,,Ennafii,STRUDEL,Doctorant,PhD student,/oennafii_homepage,oussama-ennafii,2016-09-01,2020-09-01,false,/oennafii_homepage/img/ennafii.jpg,false,46,,,https://orcid.org/0000-0001-6311-5508,,,https://scholar.google.fr/citations?user=plzeEc8AAAAJ,
Imane,,Fikri,ACTE,Doctorant,PhD student,,,2018-10,2020-10-01,false,,false,47,,,,,,,
Pierre-Louis,,Frison,ACTE,MCF HDR,Assistant Professor,/plf_homepage,,,,true,/lastig_data/img/frison.jpg,true,48,,,,,,,
Bénédicte,,Fruneau,ACTE,MCF HDR,Assistant Professor,/benedicte-fruneau,benedicte-fruneau,,,true,,true,49,,https://www.idref.fr/203024303,https://orcid.org/0000-0003-2764-1097,,,,
Sylvain,,Galopin,ACTE,Doctorant,PhD student,,sylvain-galopin,,,true,,false,50,,,,,,GQ4E25gAAAAJ,
Anatol,,Garioud,STRUDEL,Doctorant,PhD student,/anatol-garioud,anatol-garioud,2018-10-01,2022-05-20,false,/lastig_data/img/garioud.png,false,51,,,https://orcid.org/0000-0003-2944-7335,,,https://scholar.google.fr/citations?user=6c9QX2AAAAAJ&hl=fr,
Jacques,,Gautier,GEOVIS,Enseignant-Chercheur,Lecturer,/jacques-gautier,jacques-gautier,2019-09-15,,true,/jacques-gautier/img/gautier.png,true,52,,,https://orcid.org/0000-0002-6102-9099,,,,
Florent,,Geniet,ACTE,Doctorant,PhD student,/florent-geniet,florent-geniet,2021-09-01,,true,/florent-geniet/img/geniet.jpg,true,53,,,https://orcid.org/0000-0002-6562-6368,,,,
Sébastien,,Giordano,STRUDEL,Chargé de Recherches,Researcher,/sebastien-giordano,sebastien-giordano,2016-09-01,2020-06-30,false,/lastig_data/img/giordano.jpg,true,54,,https://www.idref.fr/19252271X,https://orcid.org/0000-0001-9408-3334,,,,
Dimitri,,Gominski,ACTE,Doctorant,PhD student,,,2018-01-22,2021-11-09,false,,false,55,,,,,,,
Nicolas,,Gonthier,STRUDEL,Chercheur,Researcher,https://ngonthier.github.io/,gonthier.nicolas,2022-09-01,,true,https://ngonthier.github.io/images/avatar.jpg,true,56,,,,,,,
Vera,,Gotze,STRUDEL,Post-doc,Post-doc,,veragotze,2024-09-01,2026-03-31,true,,false,57,,,,,,,
Valérie,,Gouet-Brunet,"ACTE,STRUDEL",DR1 MTE,Senior Researcher,/vgouet,valerie-gouet-brunet,2012-10-01,,true,/vgouet/img/photo_valerie.jpg,true,58,,https://www.idref.fr/174365020,https://orcid.org/0000-0003-3666-5146,,,,
Malika,,Grim-Yefsah,MEIG,MCF,Lecturer and Researcher,/malika-grim-yefsah,malika-grim,2017-04-01,2024-09-01,false,/malika-grim-yefsah/img/mgrim.jpg,true,59,,https://www.idref.fr/166752304,https://orcid.org/0000-0002-6743-0692,,,,
Maieul,,Gruget,GEOVIS,Doctorant,PhD student,/maieul-gruget,maieul-gruget,2021-09-01,,true,/geovis/faces/maieul-gruget.jpg,false,60,,,,,,,
Grégoire,,Grzeczkowicz,ACTE,Doctorant,PhD student,/gregoire-grzeczkowicz,ggrzeczkowicz,2021-04-14,2024-12-31,false,/gregoire-grzeczkowicz/img/grzeczkowicz.jpg,false,61,,,https://orcid.org/0000-0003-2913-2608,,,,
Sami,,Guembour,MEIG,Doctorant,PhD student,/Sami-Guembour,sami-guembour,2022-09-01,,true,/Sami-Guembour/img/Sami.png,false,62,,,https://orcid.org/0000-0001-5204-2374,,,,
Romain,,Guillot,MEIG,Ingénieur de recherche,Research engineer,,guillotr,2024-10-14,2026-04-13,true,,false,63,,,,,,,
Stéphane,,Guinard,ACTE,Doctorant,PhD student,/sguinard_homepage,stephane-guinard,2017-10-01,2020-03-01,false,/sguinard_homepage/img/guinard.jpg,false,64,,https://www.idref.fr/188180877,https://orcid.org/0000-0002-8841-1140,,,,
Melvin,,Hersent,GEOVIS,Doctorant,PhD student,/melvin-hersent,melvin-hersent,2024-01-01,2027-01-01,true,/geovis/faces/melvin-hersent.jpg,false,65,,,https://orcid.org/0009-0006-0349-5274,,,,
Alexandre,,Hippert-Ferrer,STRUDEL,Enseignant-Chercheur,Lecturer,https://ahippert.github.io/,alexandre-hippert-ferrer,2022-09-01,,true,/lastig_data/user/alexandre-hippert-ferrer.jpg,true,66,,,https://orcid.org/0000-0002-7740-5415,,,,
Florence,,Jacquinod,GEOVIS,Enseignant-Chercheur,Lecturer,/florence-jacquinod,florence-jacquinod,2019-01-01,,true,/florence-jacquinod/img/Florence.png,true,67,,,https://orcid.org/0000-0003-4228-9036,,,,
Yuhao,Markie,Jiang,GEOVIS,Doctorante,PhD student,/markie-jiang,,2020-11-02,2023-11-01,false,/geovis/faces/jiang.png,false,68,,,,,,,
Laurence,,Jolivet,STRUDEL,CR IGN,Researcher,/laurence-jolivet,laurence-jolivet,2006-10-01,,true,/lastig_data/img/jolivet.jpg,true,69,,https://www.idref.fr/200817833,https://orcid.org/0000-0002-3090-5076,,,,
Léopold,,Jouffroy,STRUDEL,Doctorant,PhD student,,,2024-10-01,,true,,false,70,,,,,,,
Ekaterina,,Kalinicheva,STRUDEL,Post-doc,Post-doc,/ekaterina-kalinicheva,ekaterina-kalinicheva,2021-01-04,2023-01-03,false,,false,71,,https://www.idref.fr/258533692,https://orcid.org/0000-0001-8332-2491,,,,
Karim,,Kassab,ACTE,Doctorant,PhD student,,,2023-01,2026-01,true,,false,72,,,,,,,
Colin,,Kerouanton,STRUDEL,Doctorant,PhD student,https://www.researchgate.net/profile/Colin_Kerouanton,colin-kerouanton,2015-10-01,2020-01-31,false,https://atlas-social-de-rennes.fr/images/portraits/portrait_1021_400x400.jpg,false,73,,https://www.idref.fr/253126061,https://orcid.org/0000-0001-7689-6649,,,,
Guillaume,,Koehl,STRUDEL,Ingénieur,Engineer,/guillaume-koehl,,2022-07-04,,true,,true,74,,,,,,,
Loic,,Landrieu,STRUDEL,Chercheur associé,Associate researcher,https://loiclandrieu.com/,loic-landrieu,2015-10-01,2023-03-30,false,/lastig_data/img/landrieu.jpg,true,75,,https://www.idref.fr/225451042,https://orcid.org/0000-0002-7738-8141,,,,
Yann,,Le Borgne,ACTE,Technicien d'études,Technician,,,,2020-01-01,false,,true,76,,,,,,,
Arnaud,,Le Bris,STRUDEL,Enseignant-Chercheur,Lecturer,/arnaud-le-bris,arnaud-le-bris,2005-10-01,,true,/lastig_data/img/le_bris.jpg,true,77,,https://www.idref.fr/194619125,https://orcid.org/0000-0002-1450-9161,,,,
Arnaud,,Le Guilcher,MEIG,CR - Responsable de l'équipe MEIG,Researcher - head of MEIG team,/aleguilcher_homepage,arnaud-le-guilcher,2013-10-01,,true,/aleguilcher_homepage/img/aleguilcher.png,true,78,,https://www.idref.fr/183965531,https://orcid.org/0000-0001-6673-6158,,,,
